Total NAI,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12
,Main clause,NRRC,Implicature,"Main clause ""discover""",Main clause,"Complement of ""glad""",Nominal app,Complement of annoyed,Main clause of glad,again,complement of discover,main clause of annoyed
6,0,1,0,0,0,1,1,1,0,1,1,0
1,0,0,0,0,0,1,0,0,0,0,0,0
5,0,1,0,1,0,1,0,1,0,1,0,0
2,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0
4,0,1,0,0,0,1,1,0,0,1,0,0
8,0,1,0,1,0,1,1,1,0,1,1,1
3,0,0,0,1,0,0,1,0,0,1,0,0
4,0,1,0,0,0,1,1,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0
7,0,1,0,1,0,1,1,1,1,0,1,0
1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,0,0,0,0,1,0,1,0,0
3,0,1,0,0,0,0,1,0,0,1,0,0
5,0,1,0,0,0,1,0,1,0,1,1,0
1,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,1,1,0
3,0,0,0,0,0,1,1,0,0,1,0,0
3,0,0,0,0,0,1,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0
4,0,1,0,1,0,0,1,1,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,1,0,0,1,1,0,1,0,0
40 Turkers,,,,,,,,,,,,
10 removed for only giving AI responses,,,,,,,,,,,,
6 removed for giving NAI response to main clause,,,,,,,,,,,,
24 Turkers remain
