TOTAL NAI,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,TOTAL
,Main clause,NRRC,Implicature,"Main clause ""discover""",Main clause,"Complement of ""glad""",Nominal app,Complement of annoyed,Main clause of glad,again,complement of discover,main clause of annoyed,
6,0,1,0,0,0,1,1,1,0,1,1,0,6
1,0,0,0,0,0,1,0,0,0,0,0,0,1
5,0,1,0,1,0,1,0,1,0,1,0,0,5
2,0,0,0,1,0,0,1,0,0,0,0,0,2
1,0,0,0,0,0,0,1,0,0,0,0,0,1
4,0,1,0,0,0,1,1,0,0,1,0,0,4
8,0,1,0,1,0,1,1,1,0,1,1,1,8
3,0,0,0,1,0,0,1,0,0,1,0,0,3
4,0,1,0,0,0,1,1,1,0,0,0,0,4
1,0,1,0,0,0,0,0,0,0,0,0,0,1
7,0,1,0,1,0,1,1,1,1,0,1,0,7
1,0,0,0,0,0,0,0,0,0,1,0,0,1
2,0,0,0,0,0,0,0,1,0,1,0,0,2
3,0,1,0,0,0,0,1,0,0,1,0,0,3
5,0,1,0,0,0,1,0,1,0,1,1,0,5
1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,1,1,0,2
3,0,0,0,0,0,1,1,0,0,1,0,0,3
3,0,0,0,0,0,1,1,0,1,0,0,0,3
1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,1
4,0,1,0,1,0,0,1,1,0,0,0,0,4
2,0,1,0,0,0,0,1,0,0,0,0,0,2
5,0,1,0,1,0,0,1,1,0,1,0,0,5
TOTAL NAI,0,12,0,7,0,11,14,9,3,13,5,1,75
Analysis:,14/24,nominal appositive,,,58%,,,,,,,,
,13/24,ps of again,,,54%,,,,,,,,
,12 of 24,NRRC,,,50%,,,,,,,,
,11 of 24,"complement of ""glad""",,,46%
,9 of 24,"complement of ""annoyed""",,,38%
,7 of 24,"main clause ""discover""",,,29%
,5 of 24,"complement of ""discover""",,,21%
,3 of 24,"main clause of ""glad""",,,13%
,1 of 24,"main clause of ""annoyed""",,,4%
,0 of 24,implicature,,,0%
,,,,,
,Ran 40 Turkers,,,,
,"Delete 5 Turkers that gave NAI responses to main clause (Q1, Q5)",,,,
,Delete 9 Turkers that only gave NAI responses.,,,,
,29 Turkers remain,,,,
,MAIN CLAUSE,
,1. Mary brought a fruit salad.,
,,"No, she didn't bring a fruit salad."
,,"No, and she didn't bring a fruit salad."
,APPOSITIVE,
,"2. Jack, who works for a bank, is giving out investment tips.",
,,"No, and he doesn't work for a bank."
,,"No, he doesn't work for a bank."
,IMPLICATURE,
,3. The soup is warm.,
,,"No, it is hot."
,,"No, and it is hot."
,MAIN CLAUSE OF DISCOVER,
,4. Andrew discovered that his neighbor is getting a divorce.,
,,"No, he didn't discover that."
,,"No, and he didn't discover that."
,MAIN CLAUSE,
,"5. Sue, a teacher, works even on Sundays.",
,,"No, she doesn't work on Sundays."
,,"No, and she doesn't work on Sundays."
,COMPLEMENT OF GLAD,
,6. Raul is glad that he left his wife at home.,
,,"No, he didn't leave her at home."
,,"No, and he didn't leave her at home."
,NOMINAL APP,
,"7. Phillip, a yoga teacher, came wearing sweat pants.",
,,"No, he's not a yoga teacher."
,,"No, and he's not a yoga teacher."
,COMPLEMENT OF ANNOYED,
,8. Tamara is annoyed that the pizza is gone.,
,,"No, it's not gone."
,,"No, and it's not gone."
,MAIN CLAUSE OF GLAD,
,9. Eve is glad that her husband didn't come to the party.,
,,"No, she's not glad."
,,"No, and she's not glad."
,AGAIN,
,10. Carl brought is dog again.,
,,"No, he didn't bring it before."
,,"No, and he didn't bring it before."
,COMPLEMENT OF DISCOVER,
,11. Paula discovered that her husband is cheating.,
,,"No, he's not cheating."
,,"No, and he's not cheating."
,MAIN CLAUSE OF ANNOYED,
,12. Susi is annoyed that nobody is dancing.,
,,"No, she isn't annoyed."
,,"No, and she isn't annoyed."
