Total NAI,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12
,M0n clause,NRRC,Implicature,"M0n clause ""discover""",M0n clause,"Complement of ""glad""",Nominal app,Complement of annoyed,M0n clause of glad,ag0n,complement of discover,m0n clause of annoyed
2,0,1,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,0,0,1,1,0,1,1,0
4,0,0,1,0,0,1,0,1,0,1,0,0
4,0,1,0,0,0,0,1,1,0,0,1,0
4,0,1,0,0,0,0,0,0,1,1,0,1
4,0,1,0,0,0,1,0,0,1,1,0,0
5,0,1,0,1,0,1,1,0,0,0,0,1
5,0,0,0,0,0,1,1,1,1,1,0,0
3,0,1,0,0,0,1,1,0,0,0,0,0
2,0,0,0,1,0,0,1,0,0,0,0,0
3,0,1,0,0,0,1,1,0,0,0,0,0
6,0,1,0,1,0,1,1,0,1,0,1,0
2,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1,1,0,0
5,0,0,0,1,0,0,1,1,0,1,1,0
6,0,1,0,1,0,1,1,1,0,1,0,0
3,0,0,0,1,0,0,1,0,0,1,0,0
7,0,1,0,1,0,1,1,1,0,1,1,0
1,0,0,0,0,0,0,0,1,0,0,0,0
4,0,0,0,0,0,0,1,1,0,1,0,1
6,0,1,0,0,0,1,1,0,1,1,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0
2,0,1,0,0,0,0,1,0,0,0,0,0
3,0,0,0,0,0,0,1,0,0,1,0,1
2,0,0,0,0,0,1,0,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,1,1,0
5,0,0,0,0,0,1,1,1,0,1,1,0
,0,13,1,7,0,13,20,10,6,16,7,5
Analysis,,,,
40 Turkers participated in experiment,,,,
6 excluded for never giving NAI responses,,,,
5 excluded for giving NAI responses to the main clause content,,,,
1 excluded for skipping an answer,,,,
28 Turkers' data remains,,,,
Results,,,,
20 of 28,,71%,,Nominal appositive
16 of 28,,57%,,again
13 of 28,,46%,,"Complement of ""glad"", NRRC"
10 of 28,,36%,,"Complement of ""annoyed"""
7 of 28,,25%,,"Main clause of ""discovered, complement of ""discovered"""
6 of 28,,21%,,"Main clause of ""glad"""
5 of 28,,18%,,"Main clause of ""annoyed"""
1 of 28,,4%,,Implicature
