TOTAL NAI,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12
,M0n clause,NRRC,Implicature,"M0n clause ""discover""",M0n clause,"Complement of ""glad""",Nominal app,Complement of annoyed,M0n clause of glad,ag0n,complement of discover,m0n clause of annoyed
6,0,0,1,1,0,0,0,1,1,1,1,0
3,0,1,0,0,0,0,1,1,0,0,0,0
4,0,0,0,0,0,1,1,1,0,0,1,0
8,0,0,1,1,0,1,0,1,1,1,1,1
6,0,1,0,0,0,1,1,1,0,1,1,0
5,0,0,1,0,0,1,1,0,0,1,0,1
4,0,0,0,0,0,0,1,1,0,1,1,0
2,0,0,0,0,0,0,0,0,1,1,0,0
5,0,1,0,1,0,1,1,0,0,0,1,0
2,0,1,0,0,0,0,1,0,0,0,0,0
5,0,1,0,0,0,1,0,0,1,0,1,1
6,0,1,0,1,0,1,1,1,0,1,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0
3,0,0,0,0,0,1,0,0,0,1,1,0
5,0,0,1,0,0,0,1,1,0,1,0,1
2,0,1,0,0,0,1,0,0,0,0,0,0
6,0,1,0,1,0,1,1,1,0,0,1,0
5,0,1,0,1,0,1,1,1,0,0,0,0
7,0,1,0,1,0,1,1,1,0,1,1,0
5,0,1,0,0,0,1,1,1,0,1,0,0
6,0,1,0,1,0,0,1,1,0,1,1,0
4,0,0,1,0,0,0,1,1,0,0,1,0
5,0,0,1,0,0,0,1,1,0,1,1,0
5,0,0,0,0,0,1,1,1,0,1,0,1
3,0,1,0,0,0,0,1,0,0,1,0,0
,0,13,6,8,0,14,18,17,4,15,13,5
40 Turkers participated,,,,,,,,,,,,
2 Turkers removed for only giving AI answers,,,,,,,,,,,,
13 Turkers removed for giving NAI answers to main clause,,,,,,,,,,,,
25 Turkers remain,,
Results:,,
18 of 25,72%,Nominal appositive
17 of 25,68%,Complement of annoyed
15 of 25,60%,Again
14 of 25,56%,Complement of glad
13 of 25,52%,"NRRC, Complement of discover"
8 of 25,32%,Main clause discover
6 of 25,24%,Implicature
5 of 25,20%,Main clause annoyed
4 of 25,16%,Main clause of glad
