Total NAI,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12
,M0n clause,NRRC,Expressive idiot,"M0n clause ""discover""",M0n clause,"Complement of ""glad""",Nominal app,Complement of annoyed,M0n clause of glad,ag0n,complement of discover,m0n clause of annoyed
7,0,1,1,0,0,1,1,1,0,1,1,0
8,0,1,1,1,0,1,1,1,0,1,1,0
5,0,1,1,1,0,0,1,1,0,0,0,0
6,0,1,1,0,0,1,1,1,0,1,0,0
5,0,1,1,0,0,1,1,1,0,0,0,0
3,0,0,0,0,0,0,0,1,0,1,0,1
7,0,1,1,1,0,1,1,1,0,1,0,0
6,0,0,1,1,0,1,1,1,0,1,0,0
6,0,1,0,1,0,1,1,1,0,1,0,0
6,0,0,0,1,0,1,1,1,0,1,0,1
5,0,0,1,1,0,1,1,0,0,0,0,1
4,0,1,1,0,0,0,1,1,0,0,0,0
5,0,1,1,1,0,1,1,0,0,0,0,0
7,0,1,1,0,0,1,1,1,0,1,1,0
5,0,1,0,1,0,0,1,0,1,0,0,1
5,0,0,1,0,0,1,1,1,0,1,0,0
7,0,1,1,1,0,1,1,1,0,0,1,0
7,0,1,1,0,0,1,1,1,0,1,1,0
6,0,0,1,1,0,1,1,1,0,1,0,0
6,0,0,1,0,0,1,1,1,0,0,1,1
4,0,1,1,0,0,0,1,1,0,0,0,0
4,0,1,1,0,0,0,1,1,0,0,0,0
6,0,1,1,0,0,1,1,1,0,0,1,0
6,0,1,0,0,0,1,1,1,0,1,1,0
6,0,1,1,1,0,1,1,1,0,0,0,0
5,0,1,1,1,0,1,1,0,0,0,0,0
6,0,1,1,1,0,1,1,1,0,0,0,0
6,0,1,1,1,0,0,1,0,0,1,0,1
,0,21,23,15,0,21,27,23,1,14,8,6
40 Turkers participated,,,,,,,,,,,,
2 removed for only giving AI responses,,
"10 removed for giving NAI responses to main clause (8 gave NAI responses to Q1, 9 gave NAI response to Q5)",,
28 Turkers remain,,
Results,,
27 of 28,96%,nominal app
23 of 28,82%,"expressive, complement of annoyed"
21 of 28,75%,"NRRC, complement of glad"
15 of 28,54%,main clause discover
14 of 28,50%,again
8 of 28,29%,complement of discover
6 of 28,21%,main clause of annoyed
1 of 28,4%,main clause of glad
