TOTAL NAI,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13
,Main clause1,NRRC,stop,c of discover,Main clause2,VP of stupid,nomapp,main clause w manner adv,c of annoyed,again,poss NP,c of glad,
10,0,1,1,1,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
9,0,1,1,1,0,0,1,1,1,1,1,1,
8,1,1,1,1,0,1,0,1,1,0,1,0,
8,0,1,1,0,0,0,1,1,1,1,1,1,None but it was fun... kind of
9,0,1,1,1,0,1,1,1,1,0,1,1,
9,1,0,0,1,0,1,1,1,1,1,1,1,
9,0,1,0,1,0,1,1,1,1,1,1,1,
9,0,1,1,0,0,1,1,1,1,1,1,1,
9,0,1,1,0,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
8,0,1,0,1,0,1,1,0,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
8,0,1,1,0,0,1,1,1,1,0,1,1,First time doing this hit. Hope I did that correctly.
7,0,1,1,0,0,0,1,0,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,haha
10,0,1,1,1,0,1,1,1,1,1,1,1,
9,0,1,1,1,0,0,1,1,1,1,1,1,
9,0,1,1,1,0,1,1,1,1,1,1,0,
9,0,1,0,1,0,1,1,1,1,1,1,1,
9,0,1,0,1,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,"Some of these have interesting wording and were kind of tricky.  The task was fun though, thank you."
8,0,1,1,0,0,1,0,1,1,1,1,1,
5,0,0,1,1,0,1,0,0,0,0,1,1,
8,0,1,1,0,0,1,1,1,1,1,1,,
9,0,1,0,1,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
,2,28,24,23,0,26,27,27,29,26,30,27,
"Results (out of 30, except for ""glad"", which is out of 29):",,,,,,,,,,,,,
30,100%,possNP,,,,,,,,,,,
29,97%,c of annoyed,,,,,,,,,,,
28,93%,NRRC,,,,,,,,,,,
27 out of 29,93%,c of glad,,,,,,,,,,,
27 out of 30,90%,"nomapp, main clause with manner adverb",,,,,,,,,,,
26,87%,"again, VP of stupid",,,,,,,,,,,
24,80%,stop,,,,,,,,,,,
23,77%,c of discover,,,,,,,,,,,
2,7%,main clause1,,,,,,,,,,,
0,0%,main clause2,,,,,,,,,,,
TOTAL NAI,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13
,Main clause1,NRRC,stop,c of discover,Main clause2,VP of stupid,nomapp,main clause w manner adv,c of annoyed,again,poss NP,c of glad,
10,0,1,1,1,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
9,0,1,1,1,0,0,1,1,1,1,1,1,
8,0,1,1,0,0,0,1,1,1,1,1,1,None but it was fun... kind of
9,0,1,1,1,0,1,1,1,1,0,1,1,
9,0,1,0,1,0,1,1,1,1,1,1,1,
9,0,1,1,0,0,1,1,1,1,1,1,1,
9,0,1,1,0,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
8,0,1,0,1,0,1,1,0,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
8,0,1,1,0,0,1,1,1,1,0,1,1,First time doing this hit. Hope I did that correctly.
7,0,1,1,0,0,0,1,0,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,haha
10,0,1,1,1,0,1,1,1,1,1,1,1,
9,0,1,1,1,0,0,1,1,1,1,1,1,
9,0,1,1,1,0,1,1,1,1,1,1,0,
9,0,1,0,1,0,1,1,1,1,1,1,1,
9,0,1,0,1,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,"Some of these have interesting wording and were kind of tricky.  The task was fun though, thank you."
8,0,1,1,0,0,1,0,1,1,1,1,1,
5,0,0,1,1,0,1,0,0,0,0,1,1,
8,0,1,1,0,0,1,1,1,1,1,1,,
9,0,1,0,1,0,1,1,1,1,1,1,1,
10,0,1,1,1,0,1,1,1,1,1,1,1,
,0,27,23,21,0,24,26,25,27,25,28,26,
"Results (out of 28, except for c of glad which is out of 27)",,,,,,,,,,,,,
28,100%,possNP,,,,,,,,,,,
27,96%,"NRRC, c of annoyed"
26 out of 27,96%,c of glad
26 out of 28,93%,nomapp
25,89%,"main clause w manner adv, again"
24,86%,VP of stupid
23,82%,stop
21,75%,c of discover
0,0%,"main clause1, main clause2"
