Answer.Q1Answer,Answer.Q2Answer,Answer.Q3Answer,Answer.Q4Answer,Answer.Q5Answer,Answer.Q6Answer,Answer.Q7Answer,Answer.Q8Answer,Answer.Q9Answer,Answer.Q10Answer,Answer.Q11Answer,Answer.Q12Answer
Proj MC,Proj Dem car,Proj NomApp,Proj Before,Proj Dem hat,Proj discover,AI NomApp,AI Dem car,AI discover,AI MC,AI before,AI Dem hat
0,1,1,1,1,0,0,0,1,1,0,0
0,1,1,1,1,0,0,0,1,1,0,0
0,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,0,1,1,0,0
0,1,1,1,1,1,0,0,0,1,0,0
,0,1,1,1,0,0,0,1,1,0,0
0,1,1,1,1,0,0,0,1,1,0,0
0,1,1,1,1,0,0,0,0,1,0,0
0,1,1,1,1,1,0,0,0,1,0,0
0,1,1,1,1,1,0,0,0,1,0,0
0,0,1,1,1,0,0,0,1,1,0,0
0,1,1,1,1,0,0,0,0,1,0,0
0,1,1,1,1,0,0,1,1,1,0,0
0,1,1,1,1,1,0,0,0,1,0,0
0,1,1,1,1,0,0,0,1,1,0,0
0,1,1,1,1,0,0,1,1,1,0,1
0,1,1,1,,0,0,0,1,1,0,0
0,1,1,0,1,0,1,0,1,0,0,1
0,1,1,1,1,0,0,0,1,1,0,0
0,1,1,1,1,0,0,0,1,1,0,0
0,18,20,19,19,6,2,3,14,19,1,3
Results,,,,,,,,,,,
Projection,,,,,,,,,,,
20 out of 20,100%,NomApp,,,,,,,,,
19 out of 19,100%,Dem hat,,,,,,,,,
19 out of 20,95%,before,,,,,,,,,
18 out of 20,90%,Dem car,,,,,,,,,
6 out of 20,30%,discover,,,,,,,,,
0 out of 19,0%,main clause,,,,,,,,,
AI (NAI),NAI %,
19 out of 20 (1),5%,main clause
14 out of 20 (6),30%,discover
3 out of 20 (17),85%,"Dem hat, Dem car"
2 out of 20 (18),90%,NomApp
1 out of 20 (19),95%,before
