TOTAL PROJ,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13
,main clause,NRRC,pre-state stop,C of discover,main clause (assertion),VP stupid,nomapp,manner main clause,C of annoyed,again,poss NP,scalar impl,
10,0,1,1,1,1,1,1,1,1,1,1,0,
9,0,1,1,1,1,1,1,1,1,1,0,0,
10,0,1,1,1,1,1,1,1,1,1,1,0,
9,0,1,0,1,1,1,1,1,1,1,1,0,
6,0,1,1,0,1,1,1,0,0,1,0,0,
9,0,1,1,0,1,1,1,1,1,1,1,0,
9,0,1,1,0,1,1,1,1,1,1,1,0,
7,1,1,0,0,1,1,1,0,1,0,1,0,
8,0,1,1,0,1,1,1,0,1,1,1,0,
9,0,1,0,1,1,1,1,1,1,1,1,0,These were rather oddly worded sentences. 
8,0,1,1,0,1,1,1,0,1,1,1,0,
9,0,1,1,1,1,1,1,0,1,1,1,0,
10,0,1,1,1,1,1,1,1,1,1,1,0,
10,0,1,1,1,1,1,1,1,1,1,1,0,thx
8,0,1,1,1,1,1,1,0,1,1,0,0,
9,0,1,1,1,1,1,1,0,1,1,1,0,
7,0,1,0,1,1,0,1,0,1,1,1,0,
7,0,1,1,0,1,0,1,0,1,1,1,0,Thanks!
10,0,1,1,1,1,1,1,1,1,1,1,0,THANKS
9,0,1,1,1,1,0,1,1,1,1,1,0,
8,0,1,1,1,1,1,1,0,1,1,0,0,
9,0,1,1,1,0,1,1,1,1,1,1,0,
10,0,1,1,1,1,1,1,1,1,1,1,0,"Yes. On this one: ""Debby: Sue, a teacher, runs three times a week.""... There was no question mark so I interpreted this to mean that is a statement and NOT a question; thus I said Debby is sure that Sue runs 3 times a week. Hope that's okay."
8,0,1,0,1,1,1,1,1,1,1,0,0,
7,0,0,1,0,1,1,0,1,1,1,0,1,
8,0,1,1,1,1,0,1,0,1,1,1,0,No comment
9,0,1,1,1,1,1,1,0,1,1,1,0,
4,0,0,0,1,1,1,0,0,0,1,0,0,
10,0,1,1,1,1,1,1,1,1,1,1,0,
9,0,1,0,1,1,1,1,1,1,1,1,0,
,1,28,23,22,29,26,28,17,28,29,23,1
Results (out of 30):,,,,,,,,,,,,
29,97%,"again, main clause assertion",,,,,,,,,,
28,93%,"NRRC, nom app, complement of annoyed",,,,,,,,,,
26,87%,VP of stupid,,,,,,,,,,
23,77%,"pre-state of stop, possNP",,,,,,,,,,
22,73%,complement of discover,,,,,,,,,,
17,57%,main clause with manner adverb,,,,,,,,,,
1,3%,"main clause interrogative, scalar implicature",,,,,,,,,,
