TOTAL PROJ,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14
,main clause,NRRC,pre-state stop,C of discover,main clause (assertion),VP stupid,nomapp,manner main clause,C of annoyed,again,poss NP,C of glad,cleft,scalar impl
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0
12,0,1,1,1,1,1,1,1,1,1,1,1,1,0
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0
10,0,1,0,1,0,1,1,1,1,1,1,1,0,1
11,1,1,1,1,0,1,1,0,1,1,1,1,1,0
10,1,1,1,1,0,1,1,1,1,1,0,1,0,0
9,0,1,0,1,0,1,1,1,1,1,0,1,0,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0,1,1,1,0,1,1,1,1,1,1,1,1,0
13,1,1,1,1,0,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,0,1,0,1,1,0,0,0,0
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0
9,0,1,1,1,0,0,1,1,1,1,1,1,0,0
10,0,1,1,1,0,1,1,1,1,1,1,1,0,0
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0
13,0,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0
11,0,1,1,1,0,1,1,1,1,1,1,1,0,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0
12,1,1,1,1,0,1,1,1,1,1,1,1,1,0
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0,1,1,1,0,1,1,1,1,1,1,1,1,0
,16,29,27,29,14,27,29,27,29,29,26,28,18,9
Results (out of 29),,
29,,"NRRC, compl of discover, nomapp, compl of annoyed, again"
28,,compl of glad
27,,"pre-state stop, VP stupid, manner main"
26,,possNP
18,,cleft
16,,main clause
14,,main clause (with app)
9,,scalar implicature
